tanggal,nama,tweet
2022-06-09 04:06:50+00:00,Alamsya50823884,"KPK sekarang dan seterusnya   lembaga negara yg lahir secara prematur tentu dalam mengambil sikap terseok.
BPK buka… https://t.co/ZFC9STZnuF"
2022-06-09 04:06:44+00:00,dar_yoga,"@jokowi  Survei: KPK Paling Tak Dipercaya, TNI dan Presiden Paling Dipercaya https://t.co/dOuSn0jKTl"
2022-06-09 04:06:19+00:00,zia_karib74,@UmarHasibuan070 @KPK_RI Mmng Aneh
2022-06-09 04:05:58+00:00,PettaKumpe,@UmarHasibuan070 @imranbachmid @KPK_RI Bubar aja kpk
2022-06-09 04:04:58+00:00,dedonc,"@triajaaa @KPK_RI masih ditimbang
belum nyampe 1kilo"
2022-06-09 04:03:32+00:00,voidotid,Kehadiran Andi ini penting untuk membuktikan dakwaan terhadap Abdul Gafur. Termasuk adanya dugaan pembiayaan Musyaw… https://t.co/0YEVqzqCT7
2022-06-09 04:03:32+00:00,kaedaharakajuju,"@paimonfess Ku r2 aja udah calon² gak kpk karne xiao dah dipakein pjws..kataku sih engga, kecusli emang berduit"
2022-06-09 04:03:28+00:00,SlikhaToun,KPK  itu kerja  untuk melindunggi  rakyat  ..bukan kerja melindunggi  Para elit koruptor. Dr Thn 2014 marasa gue gk… https://t.co/InLRxHCDTo
2022-06-09 04:01:47+00:00,KPK_RI,"Kegiatan ini diharapkan dapat memperkuat sinergi antara APH, serta mampu menjadi trigger dalam penanganan perkara t… https://t.co/s0OMfSBapE"
2022-06-09 04:00:43+00:00,KPK_RI,"APH jugmemiliki kewajiban untuk membangun kesadaran masyarakat, bahwa peran serta dari masyarakat angka korupsi dap… https://t.co/3WBH2OCJiY"
2022-06-09 03:59:29+00:00,bayuagni_,@paijodirajo @KPK_RI Tenang. Kepercayaan itu nanti bakal ditumbuhkan lagi oleh rompi biru anti korupsi
2022-06-09 03:59:02+00:00,fajaronline,"Bela Mardani Maming, Pendiri HIPMI: Karirnya Lagi Menanjak, Wajar Kalau Ada Upaya Jahat https://t.co/qdg0TtwDc7… https://t.co/QmkMKjwuqh"
2022-06-09 03:58:54+00:00,YongHendra2,"@triajaaa @KPK_RI DKi, Itu Daerah Khusus.

Kira2 begitu ya KPK ???"
2022-06-09 03:58:50+00:00,DrAfsarKhan9,@MaryamNSharif G ALHAMDULILLAH  In Dist Buner kpk loadshedding 6-8 ginty sy ziada kr k 10-11 ginty kr deye gay hai… https://t.co/l5KX0qVMwe
2022-06-09 03:58:32+00:00,andry19633,"Respon Rizal Ramli kepada Ketua KPK Firli Bahuri soal Parpol, Threshold dan Korupsi https://t.co/imTvIhIbyJ… https://t.co/HJUgUvItyl"
2022-06-09 03:58:09+00:00,KPK_RI,KPK mengharapkan agar APH terkhususnya di wilayah Provinsi Sulsel mampu mendorong untuk dilakukannya percepatan pen… https://t.co/UERNnDy1Hn
